set,tier,name,traits,apiName,desc
0,1-Silver,Extra Buckles,,TFT_Augment_ComponentQuestBelt_PAIRS,"Gain a Giant's Belt. After your team takes 90000 damage, gain 2 more. Damage taken: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Extra Buckles,,TFT_Augment_ComponentQuestBelt,"Gain a Giant's Belt. After your team takes 75000 damage, gain 2 more. Damage taken: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Eye For An Eye,,TFT_Augment_EyeForAnEye,"For every 15 ally champions that die, gain a random component (max 3). Deaths Remaining: [TFTUnitProperty.item:TFT_Augment_EyeForAnEyeDeaths]"
0,1-Silver,Eye For An Eye+,,TFT_Augment_EyeForAnEyePlus,"Gain a random component. For every 18 ally champions that die, gain another component (max 2). Deaths Remaining: [TFTUnitProperty.item:TFT_Augment_EyeForAnEyeDeaths]"
0,1-Silver,Feeling Lucky,,TFT_Augment_FeelingLucky,"Gain 12 gold, then flip a coin. If heads, gain 4 more gold. [TFTUnitProperty.item:TFT_Augment_FeelingLucky_Tooltip]"
0,1-Silver,Final Resistance,,TFT_Augment_FinalResistance,"Each time an allied champion dies, 30% Shred and Sunder the nearest 4 enemies for 6 seconds. Shred: reduces Magic Resist, Sunder: reduces Armor"
0,1-Silver,Find Your Center,,TFT_Augment_FindYourCenter,Your champion that starts combat in the center of the front row gains 15% Damage Amp and 25% max Health.
0,1-Silver,Firesale,,TFT_Augment_FiresalePlus,"Each round, steal a random 3-cost or lower champion from the shop. Gain 1 gold."
0,1-Silver,Firesale,,TFT_Augment_Firesale,"Each round, steal a random [CostLimit]-cost or lower champion from the shop. Gain 1 gold."
0,1-Silver,Flowing Tears,,TFT_Augment_ComponentQuestTear_PAIRS,"Gain a Tear of the Goddess. After your team spends 7800 Mana, gain 2 more. Mana spent: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Flowing Tears,,TFT_Augment_ComponentQuestTear,"Gain a Tear of the Goddess. After your team spends 6500 Mana, gain 2 more. Mana spent: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Focused Fire,,TFT_Augment_MarksMan,"Your team gains 10% Attack Damage. Every 5 seconds, they gain 5% more."
0,1-Silver,Glass Cannon I,,TFT_Augment_GlassCannonI,Allies that start combat in the back row begin combat at 80.0% Health but gain 15% Damage Amp.
0,1-Silver,Group Hug I,,TFT_Augment_GroupHug1,Combat start: Allies grant other adjacent allies 6 Armor and Magic Resist. This effect stacks.
0,1-Silver,Health is Wealth I,,TFT_Augment_WealthyRehab1,Your team gains 10% Omnivamp. Get a bonus of 8 gold when your team first accumulates 10000 total champion healing. Total Healing: [TFTUnitProperty.item:TFT_Augment_WealthyRehabHealing]
0,1-Silver,Instant Gratification,,TFT_Augment_InstantGratification,The first copy of each unlockable 1- 3 cost champion you purchase is upgraded to 2-star. Gain 8 gold.
0,1-Silver,Item Collector I,,TFT_Augment_ItemCollector1,"For each unique item they are holding, your team gains 0% Attack Damage and 1% Ability Power."
0,1-Silver,Item Ladder,,TFT_Augment_ItemLadder,Gain a temporary item that unequips and transforms at the start of each round. The item quality increases each Stage.
0,1-Silver,Kick Start,,TFT_Augment_KickStart,Gain a random 2-star 2-cost champion and 1 gold.
0,1-Silver,Kingslayer,,TFT_Augment_Kingslayer,"Now and after every player combat, gain 1 gold. If you win against a player who had more health than you, gain 6 gold instead."
0,1-Silver,Lineup,,TFT_Augment_Lineup,Your team gains 2 Armor and Magic Resist for each ally that starts combat in the front two rows.
0,1-Silver,Lit Fuse,,TFT_Augment_Incoming,Allies that start in the back two rows split 60 total Mana after 6 seconds of combat.
0,1-Silver,Lone Hero,,TFT_Augment_LoneHero,Your last surviving champion gains 140.0% Attack Speed and 34% Durability
0,1-Silver,Manaflow I,,TFT_Augment_Manaflow1,Your allies that start combat in the back row gain 2 additional Mana per attack.
0,1-Silver,Mentorship I,,TFT_Augment_Mentorship1,"If an ally starts combat next to a higher-cost ally, it gains 10% Attack Speed and 100 Health."
0,1-Silver,On The House,,TFT_Augment_OnTheHouse,"Whenever you star up a champion, gain [gold] gold. Gain 4 gold now."
0,1-Silver,On a Roll,,TFT_Augment_Waverider,"Whenever you star up a champion that you fielded last combat, gain [NumRolls] free Shop rerolls. Gain 6 gold."
0,1-Silver,One For All I,,TFT_Augment_AllForOneI,Your team gains 1% max Health and 0% Damage Amp for each unique one-cost champion on your board. Gain 2 one-costs.
0,1-Silver,Page of Swords,,TFT_Augment_PageOfSwords,Gain 2 B.F. Swords.
0,1-Silver,Patience is a Virtue,,TFT_Augment_PatienceIsAVirtue,"Gain 4 rerolls now. Each round, gain 1 free rerolls if you did not buy a champion last round."
0,1-Silver,Petricite Armor I,,TFT_Augment_PetriciteArmorI,Your team takes 9% reduced damage from champion abilities.
0,1-Silver,Placebo,,TFT_Augment_Placebo,Your team gains 0% Attack Speed. Gain 8 gold.
0,1-Silver,Placebo+,,TFT_Augment_PlaceboPlus,Your team gains 0% Attack Speed. Gain 14 gold.
0,1-Silver,Pocket Recombobulator,,TFT_Augment_PocketRecombobulator,"Get 2 Pocket Recombobulators, a consumable that transforms a 1 or 2-cost champion into one of a higher cost. They keep their Star level. Also receive 2 Reforgers."
0,1-Silver,Precise Planning,,TFT_Augment_PerfectLoss,"When you win or lose combat by 4 or fewer units, gain [GoldToGive] gold next round."
0,1-Silver,Precise Smithing,,TFT_Augment_PreciseSmithing,"Reforging items and Artifacts grants an anvil of the same value instead. Gain 1 component and 2 reforger now, and 1 reforgers every stage. Includes components and Radiant Items, but does not affect Emblems or Tactician's Items."
0,1-Silver,Reroll Transfer,,TFT_Augment_RerollTransfer,"For every 1 unused Augment Reroll, gain 3 free shop rerolls. Gain 1 gold. Does not include the round this augment is selected."
0,1-Silver,Restart Mission,,TFT_Augment_RestartMission,"Remove all champions on your board and bench. Gain 2 random 2-star 3-costs, 2 2-star 2-costs, and 1 2-star 1-cost champion."
0,1-Silver,Rigged Shop,,TFT_Augment_RiggedShop,Your next shop and every [NumRolls] shops will contain all 3-cost champions.
0,1-Silver,Rigged Shop+,,TFT_Augment_RiggedShopPlus,Your next shop and every [NumRolls] shops will contain all 3-cost champions. Gain 5 rerolls.
0,1-Silver,Silver Destiny,,TFT_Augment_SilverDestiny,Gain a random Silver Augment and 2 gold.
0,1-Silver,Silver Destiny+,,TFT_Augment_SilverDestinyPlus,Gain a random Silver Augment and 4 gold.
0,1-Silver,Silver Destiny++,,TFT_Augment_SilverDestinyPlusPlus,Gain a random Silver Augment and 7 gold.
0,1-Silver,Size Matters,,TFT_Augment_SizeMatters,"Gain a Giant's Belt. After a champion starts combat with more than [HealthRequired] max Health, gain a Warmog's Armor."
0,1-Silver,Slice of Life,,TFT_Augment_SliceOfLife,"Twice per stage, gain a random champion. Its cost increases by Stage. This effect ends after receiving 1 5-cost champion."
0,1-Silver,Slightly Magic Roll,,TFT_Augment_MagicRollMinus,Roll a die. Gain rewards based on the number rolled. Reward: [TFTUnitProperty.item:TFT_Augment_MagicRoll]
0,1-Silver,Small Grab Bag,,TFT_Augment_SmallGrabBag,Gain 2 random item components.
0,1-Silver,Splash Zone,,TFTTutorial_Augment_FrontRowMana1,Combat start: Your champions in the front 2 rows gain 20 Mana.
0,1-Silver,Stock Market,,TFT_Augment_StockMarket,"At the start of every stage, the cost of each unit tier shuffles."
0,1-Silver,Superstars I,,TFT_Augment_SuperstarsSilver,"Your team deals 5% more damage, increased by 1% for every 3-star champion on your team. Gain 2 rerolls. Bonus: [TFTUnitProperty.item:TFT_Augment_SuperstarsTotalDamageBonus]%"
0,1-Silver,Support Mining,,TFT_Augment_SupportMining,"Gain a Training Dummy. When it dies 8 times, gain a random Support Item and remove the Training Dummy."
0,1-Silver,Support Mining+,,TFT_Augment_SupportMiningPlus,"Gain a Training Dummy. When it dies 7 times, gain a random Support Item and remove the Training Dummy."
0,1-Silver,Survivor,,TFT_Augment_Survivor,"Gain 4 gold. After 3 players are eliminated, gain 100 more gold."
0,1-Silver,Swift Strike,,TFTTutorial_Augment_BackRowAS1,Combat start: Your champions in the back 2 rows gain 20 Attack Speed.
0,1-Silver,Table Scraps,,TFT_Augment_TableScraps,"After the next 2 carousels, gain one champion that was not taken and its item. Gain 1 gold."
0,1-Silver,The Tower,,TFT_Augment_TheTower,"Gain a giant Training Dummy with increased Health (increases with Stage). Every 4 seconds, it zaps the 3 nearest enemies dealing 5% max Health true damage."
0,1-Silver,Titanic Titan,,TFT_Augment_TitanicTitan,"Increase your current and max player Health by 25. On carousel rounds you are released earlier, but are much slower."
0,1-Silver,Twin Guardians,,TFT_Augment_TwinGuardians,"If you have exactly 2 allies in your first row, grant them 100 bonus Health, 35 Armor, and 35 Magic Resist."
0,2-Gold,3 Threes,,TFT_Augment_ThreeThrees,Gain 3 random 2-star 3-cost champions and 3 gold.
0,2-Gold,A Golden Quest,,TFT_Augment_GoldenQuest,"The first time you have [GoldRequired] or more gold, gain a 2-star 5-cost champion and 2 items tailored to them."
0,2-Gold,A Magic Roll,,TFT_Augment_MagicRoll,Roll 3 dice. Gain rewards based on their total. Reward: [TFTUnitProperty.item:TFT_Augment_MagicRoll]
0,2-Gold,A Story of Seven,,TFT_Augment_StoryOfSeven,"Collect Golden Balls by defeating players in combat. Collect all 7 for a reward, then restart the quest with more powerful rewards. Gain a 2-star 1-cost champion to start your journey."
0,2-Gold,Advanced Loan,,TFT_Augment_AdvancedLoan,Gain 20 Gold. Your next augment is one tier lower.
0,2-Gold,Advanced Loan+,,TFT_Augment_AdvancedLoanPlus,Gain 33 Gold. Your next augment is one tier lower.
0,2-Gold,Aim For The Top!,,TFT_Augment_AimForTheTop,"You are more likely to fight stronger players, and you know who you will fight. When you lose, gain 2 XP. After your first win and every 3 wins after, gain a component. Foes vanquished: [TFTUnitProperty.item:TFT15_AimForTheTop_EnemiesBeaten]"
0,2-Gold,All That Shimmers+,,TFT_Augment_AllThatShimmersPlus,Choose a gold-generating Artifact. Gain a Magnetic Remover and 4 gold.
0,2-Gold,Another One!,,TFT_Augment_AnotherOne,The next completed item you make grants an additional copy of it. Gain 5 gold now.
0,2-Gold,Another One!+,,TFT_Augment_AnotherOnePlus,The next completed item you make grants another copy of it. Gain 1 component anvil.
0,2-Gold,Arcane Viktor-y,,TFT_Augment_ArcaneViktory,"After 8 seconds of combat, stun the enemy team for 1.5 seconds. Repeat this after 18 seconds of combat. TFT Macao Open, 2024"
0,2-Gold,Aura Farming,,TFT_Augment_AuraFarming,Gain a [StarLevel]-star 5-cost champion holding a recommended item. You cannot field it until Stage 4-3.
0,2-Gold,Avenge The Fallen,,TFT_Augment_AvengeTheFallen,"After 3 allies die, your team gains 28% Attack Damage, [ap] Ability Power, 28 Armor, and 28 Magic Resist."
0,2-Gold,BRB,,TFT_Augment_BRB,"You cannot perform actions for the next 3 rounds. Afterwards, gain [Anvils] completed item anvils."
0,2-Gold,Backline Blueprint,,TFT_Augment_BacklineBlueprint,Gain a 3-cost non-Tank champion and an Emblem that matches their last-listed trait.
0,2-Gold,Backup Dancers,,TFT_Augment_BackupDancers,"Combat start: Every 3 seconds, champions in your 3 rightmost bench slots grant your team 2% Attack Speed per slot."
0,2-Gold,Bad Luck Protection,,TFT_Augment_BadLuckProtection,Your team can no longer critically strike. Convert each 5% Critical Strike Chance into 5% Attack Damage. Gain a Sparring Gloves.
0,2-Gold,Big Ones,,TFT_Augment_BigOnes,Combat start: Your 1-cost champions gain 150 max Health and 11% Damage Amp.
0,2-Gold,Birthday Reunion,,TFT_Augment_BirthdayReunion,"Gain 1 gold. At Level 5, gain a random 2-star 2-cost champion. At Level 7, gain a Thief's Gloves. At Level 9, gain a random 2-star 5-cost champion. Inkborn Fables Tactician's Crown, 2024"
0,2-Gold,Blazing Soul I,,TFT_Augment_BlazingSoul,Combat start: Your highest Attack Speed champion gains 20% Ability Power and 20% Attack Speed. Repeat on another ally every 3 seconds.
0,2-Gold,Blood Offering,,TFT_Augment_TheDarkinBlade,Gain a Bloodthirster. Combat start: Allies holding Bloodthirsters lose 15% Health but gain a 20% Health shield and 11% Attack Damage and Ability Power.
0,2-Gold,Blood Rage,,TFT_Augment_BloodRage,Your allies gain 11-25% Damage Amp based on their missing Health. Maximum Damage Amp gained at 30% Health.
0,2-Gold,Blossoming Lotus I,,TFT_Augment_BlossomingLotus1,"Your team's Abilities can critically strike. Every 3 seconds, your team gains 5% Critical Strike Chance."
0,2-Gold,Bodyguard Training,,TFT_Augment_BodyguardTraining,"Allies gain 15 Armor and Magic Resist, increased by 2 per player level. Gizmos & Gadgets Championship, 2022"
0,2-Gold,Booster Pack,,TFT_Augment_BoosterPack,Gain 12 gold of random champions. (At least one 3-cost guaranteed!) (Each champion has a small chance of being holographic!)
0,2-Gold,Booster Pack+,,TFT_Augment_BoosterPackPlus,Gain 18 gold of random champions. (At least one 4-cost guaranteed!) (Each champion has a small chance of being holographic!)
0,2-Gold,Booster Pack++,,TFT_Augment_BoosterPackPlusPlus,Gain 26 gold of random champions. (At least one 5-cost guaranteed!) (Each champion has a small chance of being holographic!)
0,2-Gold,Bowsmith,,TFT_Augment_ForgeBow,Gain 2 random completed items that build from Recurve Bow.
0,2-Gold,Bragging Rights,,TFT_Augment_BraggingRights,"If you get 1st, a fancy celebration plays. This augment has no other effect, and can be rerolled for free."
0,2-Gold,Bronze For Life I,,TFT_Augment_BronzeForLifeI,Your team gains 1% Damage Amp for each Bronze-tier trait. Damage Amp Bonus: [TFTUnitProperty.item:TFT_Augment_BronzeForLife_CurrentDamageAmp]%
0,2-Gold,Bulking Up II,,TFT_Augment_BulkingUp2,"Your team gains 50 Health. After each round, they gain 15 more. (Current Health: [TFTUnitProperty.item:TFT_BulkingUp2Rounds])"
0,2-Gold,Bulky Buddies II,,TFT_Augment_BulkyBuddies2,"Allies that start combat next to exactly 1 other ally gain 175 Health. When that champion dies, the other gains a 15% max Health Shield for 10 seconds."
0,2-Gold,Care Package,,TFT_Augment_HomeCooking,"Now and at the start of the next 2 Stages, receive a care package with loot and 1 gold."
0,2-Gold,Category Five,,TFT_Augment_CategoryFive,"Gain a Runaan's Hurricane. Your Runaan's Hurricanes shoot 1 extra bolts, each dealing 75% of the original damage."
0,2-Gold,Charge Transfer II,,TFT_Augment_ChargeTransfer2,Your team gains 10% Damage Amp. 80.0% of overkill damage is dealt to the nearest enemy as magic damage.
0,2-Gold,Climb The Ladder II,,TFT_Augment_ClimbTheLadder2,"Each time an ally dies, allies that share at least one trait with them gain 7% Ability Power, 7% Attack Damage, 6 Armor, and 6 Magic Resist."
0,2-Gold,Clockwork Accelerator,,TFT_Augment_ClockworkAccelerator,Your team gains [attackspeed*100]% Attack Speed every [frequency] seconds in combat.
0,2-Gold,Cloning Facility,,TFT_Augment_CloningFacility,Empower the hex in the center of the third row. Summon a clone of the champion in it with 80.0% base Health and 10% increased Mana cost.
0,2-Gold,Cognitive Overload,,TFT_Augment_CognitiveOverload,"Gain 7 gold, 1 2-star 1-cost champion, 1 2-cost champion, 2 3-cost champions, 1 XP, and 1 Shop reroll."
0,2-Gold,Combat Bandages II,,TFT_Augment_DawnbringersBlessing2,"The first time each ally unit falls below 60.0% health, they restore 170-[flathealing3] health (based on stage) over 2.5 seconds."
0,2-Gold,Contested,,TFT_Augment_Contested,"After each player combat, gain 2 gold for every 2 other players who have fielded the leftmost champion on your bench this game."
0,2-Gold,Cooking Pot,,TFT_Augment_CookingPot_HR,"At the start of each turn, all allies holding a Frying Pan or Spatula item grant the nearest champion 70 permanent Health. Gain a Frying Pan."
0,2-Gold,Cooking Pot,,TFT_Augment_CookingPot,"At the start of each turn, all allies holding a Frying Pan or Spatula item grant the nearest champion 60 permanent Health. Gain a Frying Pan."
0,2-Gold,Cosmic Restart,,TFT_Augment_CosmicRestart,Call upon the Gods to sell all units on your board and bench. Gain 2 random Emblems and 15 free Shop rerolls.
0,2-Gold,Crown's Will,,TFT_Augment_CrownguardSpirit,Gain a Needlessly Large Rod and a Chain Vest. Your team gains 8 Ability Power and 6 Armor.
0,2-Gold,Cry Me A River,,TFT_Augment_CryMeARiver,"Gain a Tear of the Goddess. Your team gains 1 Mana Regen. After 12 seconds in combat, increase this to 4."
0,2-Gold,Custom Fitted,,TFT_Augment_CustomFitted,The first 6-cost you obtain comes with 3 tailored items equipped.
0,2-Gold,Cybernetic Mass,,TFTTutorial_Augment_WithItemHealth2,Your champions holding an item gain 300 Health.
0,2-Gold,Deadlier Blades,,TFT_Augment_TragicalBlade,Gain a Deathblade. Deathblades permanently gain [AD*100]% Attack Damage whenever their holders score a takedown.
0,2-Gold,Deadlier Caps,,TFT_Augment_DeadlierCaps,Gain a Rabadon's Deathcap. Rabadon's Deathcaps grant 1 Mana Regen and permanently gain [AP]% Ability Power whenever their holders score a takedown.
0,2-Gold,Double Down,,TFT_Augment_DoubleDown,"After each player combat, gain gold equal to your win or loss streak (max 4 gold)."
0,2-Gold,Duo Queue,,TFT_Augment_DuoQueue,Gain 2 random 5-cost champions and 2 copies of a random component.
0,2-Gold,Early Learnings,,TFT_Augment_EarlyLearning,"Your team gains 5% Attack Damage & Ability Power. This increases by 1% after each player combat. 1-cost champions gain double. [TFTUnitProperty.item:TFT_Augment_EarlyLearning_TRAKey] TFT Vegas Open, 2023"
0,2-Gold,Elite Vanguard,,TFTTutorial_Augment_WithItemAS2,Your champions holding an item gain 20 Attack Speed.
0,2-Gold,Endless Conflagration,,TFT_Augment_EndlessConflagration,"Choose a Burn item. Your Burns now stack, increasing the original Burn's damage by 11%."
0,2-Gold,Epic Rolldown,,TFT_Augment_EpicRolldown,"When you reach Level 8, gain 20 Shop rerolls. Runeterra Reforged Championship, 2023"
0,2-Gold,Evil Beyond Measure,,TFT_Augment_EvilBeyondMeasure,Your champions deal 4.5% of their damage as True Damage for each Star level.
0,2-Gold,Exclusive Customization,,TFT_Augment_ExclusiveCustomization,"Gain a Lucky Item Chest, a Magnetic Remover, and 7 gold. Use a Lucky Item Chest on a champion to choose from an armory of recommended items!"
0,2-Gold,Exclusive Customization II,,TFT_Augment_ExclusiveCustomization2,"Gain 2 Lucky Item Chests, a Magnetic Remover, and 7 gold. Use a Lucky Item Chest on a champion to choose from an armory of recommended items!"
0,2-Gold,Explosive Growth,,TFT_Augment_ExplosiveGrowth,"Now and at the start of the next [Rounds] rounds, gain 7 XP."
0,2-Gold,Explosive Growth+,,TFT_Augment_ExplosiveGrowthPlus,"Now and at the start of the next [Rounds] rounds, gain 10 XP."
0,2-Gold,Feed the Flames,,TFT_Augment_FeedTheFlames,Gain a Sunfire Cape. Your team gains 11% Omnivamp when attacking Burning enemies.
0,2-Gold,Flexible,,TFT_Augment_Flexible,"Gain 1 random Emblem. At the start of every Stage, gain a random Emblem. Your team gains 30 Health for each Emblem they are holding."
0,2-Gold,Fortune Favors the Bold,,TFT_Augment_FortuneFavorsTheBold,"Winning combat against a player will give bonus orbs. The longer your loss streak, the bigger the payout."
0,2-Gold,Forward Thinking,,TFT_Augment_ForwardThinking,"Lose all your gold. After [Rounds] player combats, gain back the original amount and another 62 gold. Incoming Gold: [TFTUnitProperty.item:TFT_Augment_ForwardThinkingGold]"
0,2-Gold,Frontline Foundation,,TFT_Augment_FrontlineFoundation,Gain a 2-star 1-cost Tank champion and an Emblem that matches their last-listed trait.
0,2-Gold,Gilded Steel,,TFT_Augment_GildedSteel,"Gain 2 non-Tank 5-cost champions. If you field at least one 5-cost champion, your 1 to 4-cost champions gain 7% Durability. K.O. Coliseum Tactician's Crown, 2025"
0,2-Gold,Glass Cannon II,,TFT_Augment_GlassCannonII,Allies that start combat in the back row begin combat at 80.0% Health but gain 25% Damage Amp.
0,2-Gold,Gold Destiny,,TFT_Augment_GoldDestiny,Gain a random Gold Augment and 3 gold.
0,2-Gold,Gold Destiny+,,TFT_Augment_GoldDestinyPlus,Gain a random Gold Augment and 6 gold.
0,2-Gold,Gold For Dummies,,TFT_Augment_GoldForDummies,"Gain a Training Dummy. Every 10 seconds, all Training Dummies grant 1 gold."
0,2-Gold,Golemify,,TFT_Augment_Golemify,Lose all champions on your board and bench. Gain a Golem with 60% of their combined Health and 33% of their combined Attack Damage. The Golem gains 1200 Health per stage. Gain a non-Tank 2-star 2-cost champion.
0,2-Gold,Group Hug II,,TFT_Augment_GroupHug2,Combat start: Allies grant other adjacent allies 9 Armor and Magic Resist. This effect stacks.
0,2-Gold,Hard Bargain,,TFT_Augment_HardBargain,"You cannot choose your Carousel rewards. Gain an additional 6 player Health and 8 Gold each carousel round. When you do not pick a Carousel Reward, you are given an unpicked champion and the item it carries"
0,2-Gold,Health is Wealth II,,TFT_Augment_WealthyRehab2,Your team gains 15% Omnivamp. Get a bonus of 15 gold when your team first accumulates 10000 total champion healing. Total Healing: [TFTUnitProperty.item:TFT_Augment_WealthyRehabHealing]
0,2-Gold,Heart of Steel,,TFT_Augment_WarmogsBuckle,"Gain a Steadfast Heart. Every 10 seconds of combat its holder survives, Steadfast Heart gains additional [Health] permanent max Health."
0,2-Gold,Heavy Is the Crown,,TFT_Augment_HeavyIsTheCrown,"Gain a Crown of Demacia, which provides significant bonuses to the wearer. If the holder dies, lose the round."
