name,category,rarity,effect
Warrior's Pauldrons,item,Rare,Creates wall every 20 seconds nullifying frontal damage
Warrior's Gloves,item,Rare,On dash creates energy blast
Elementalists' Blessing,item,Rare,Increases Magic Attack by 45% per Spirit
Priestess' Veil,item,Rare,Increases Attack by 40 decreases damage by 50%
Ice Scale Spaulders,item,Rare,30% chance to freeze on dash attack
Fire Spirit Salamander,item,Rare,Summons fire spirit shooting flames every 5 seconds
Coward's Cape,item,Rare,Increases Dash Cooldown Speed by 100% with 4+ enemies
Ancient Incense Burner,item,Rare,Increases Quintessence Cooldown Speed by 50%
Iron Shoes of Bitter Cold,item,Rare,Increases Magic Attack by 35% freeze on landing
Naia's Heart,item,Rare,Increases Max HP by 35. Incoming damage freezes enemies
Magic Bead of Darkness,item,Rare,On swap stuns nearby enemies
Ceremonial Dagger,item,Rare,Increases Crit Rate by 5%. Critical hits boost Magic
Thief Armor,item,Rare,Throws shuriken on normal attacks
Giant's Axe,item,Rare,Increases Physical Attack by 30%. Swap sends enemies flying
Mage's Necklace,item,Rare,Creates burning orb hurling fireball at nearest enemy
Sphinx Eye,item,Rare,Decreases trap damage by 75% Magic Attack by 35%
Wind Armor,item,Rare,Increases Dashing Distance by 40% dash reset chance
Broken Mana Engine,item,Rare,Increases Skill Cooldown Speed by 30% dash creates magic mass
Bone of Courage,item,Unique,Amplifies next attack by 50% every 3 seconds
Mana Bone,item,Unique,On skill cast creates mana storm
Dark Priest Robe,item,Unique,Creates 30 HP barrier when HP drops to 30 or below
Explosive Arrow,item,Unique,All projectiles explode upon contact
Gunpowder Sword,item,Unique,Successful critical hit creates explosion
Thief's Black Steel Dagger,item,Unique,Each attack increases Crit Rate by 2% stacks to 20
Manatech Circulator,item,Unique,Using skills decreases all cooldowns by 1 second
Demonomicon,item,Unique,Decreases Swap Cooldown by 0.5 per kill increases Magic Attack
Jagamon Thorn,item,Unique,Basic Attacks inflict 10 additional true damage
Hero's Holy Sword,item,Unique,Dashing increases Physical Attack by 90% for 1 second
Master Fighter,item,Unique,Increases Attack by 70% with 2 or fewer enemies
Ninja Mask,item,Unique,Amplifies damage dealt from behind by 40%
Ruby Heart,item,Unique,Restores 1 HP per kill for 2 seconds on swap
Diorite Circlet,item,Unique,Successful Quintessence attacks increase Magic Attack by 100%
Rear Blast,item,Unique,Successful Item attacks increase Physical Attack by 70%
Manatech Dagger,item,Unique,Makes basic attacks inflict Critical Damage every 3 seconds
Earth Spirit Gnome,item,Unique,Spirit casts rock magic every 7 seconds
Raven Monarch's Father,item,Legendary,On swap creates vortex pulling enemies
Sylphid Wings,item,Legendary,Increases Aerial Attack Speed by 70% and Movement Speed by 100%. Enables extra jump
