name,type,effect
Magma Booster,item,Increase Attack by 3. Add Aimless to the target
Mini Muncher,item,Destroy a card in your hand. Noomlin
Molten Dip,item,Increase Attack by 2. Barrage. Consume.
Noomlin Biscuit,item,Add Noomlin to a card in your hand. Consume.
Nutshell Cake,item,Apply 9 Shell. Reduce Health by 2. Consume.
Peppereaper,item,Apply 3 Spice
Peppering,item,Apply 2 Spice. Barrage.
Pinkberry Juice,item,Increase Health by 4
Pom Mask,item,Summon Pom on the enemy side. Consume.
Pombomb,item,Hits all undamaged enemies
Proto-Stomper,item,Trash 2
Scrap Pile,item,Add 1 Scrap
Scrappy Sword,item,A traditional trusty weapon
Shade Clay,item,Make a copy of an Item in your hand. Consume
Shade Wisp,item,Summon a copy of an enemy on your side with 1 Health
Sheepopper Mask,item,Summon Sheepopper on the enemy side. Consume
Shell Shield,item,Apply 4 Shell
Shellbo,item,Apply 5 Shell. Barrage
Skullmist Tea,item,Kill an ally. Add their Attack to all allies. Consume.
Slapcrackers,item,Aimless
Snow Stick,item,Apply 2 Snow
Snowcake,item,Apply 12 Snow. Consume
Snowzooka,item,Apply 2 Snow. Critical.
Soulbound Skulls,item,Add Soulbound to an ally. Add Soulbound to a random enemy
Spice Stones,item,Double the target's Spice
Spore Pack,item,Apply 2 Shroom. Barrage
Storm Globe,item,Apply 4 Snow. Reduce by 1 when played
Stormbear Spirit,item,Target must be Snow'd
Sun Rod,item,Count down Counter by 2
Sunburst Tootoo,item,Count down Counter by 2
Suncream,item,Reduce Counter by 1. Recycle 1. Consume.
Sunlight Drum,item,Count down Counter by 1. Barrage
Sunsong Box,item,Increase Attack by 1. Count down Counter by 1. Recycle 1.
Supersnower,item,Apply 4 Snow. Recycle 2.
Tar Blade,item,Deal additional damage equal to Tar Blades in hand
The Lumin Vase,item,Apply 1 Lumin
Tiger Skull,item,Kill an ally. Apply 4 Teeth to a random ally.
Tigris Mask,item,Summon Tigris. Consume
Yeti Skull,item,Kill an ally. Apply 3 Snow to enemies in the row.
